english,korean,section,note
"event","이벤트","Core data model",""
"property / properties","속성","Core data model",""
"user","사용자","Core data model",""
"user profile","사용자 프로필","Core data model",""
"profile property","프로필 속성","Core data model",""
"super property","슈퍼 속성","Core data model",""
"group profile","그룹 프로필","Core data model",""
"Group Analytics","그룹 애널리틱스","Core data model","Product feature"
"cohort","코호트","Core data model",""
"Behavior / Behaviors","행동(Behavior)","Core data model","Cohort-builder concept — gloss on first use"
"custom event","커스텀 이벤트","Core data model",""
"custom property","커스텀 속성","Core data model",""
"lookup table","룩업 테이블","Core data model",""
"distinct ID","distinct ID","Core data model","Never translate — literal identifier"
"identity merge","아이덴티티 병합","Core data model",""
"alias","별칭(alias)","Core data model",""
"anonymous ID","익명 ID","Core data model",""
"reserved property","예약 속성","Core data model",""
"data model","데이터 모델","Core data model",""
"schema","스키마","Core data model",""
"taxonomy","택소노미","Core data model",""
"timestamp","타임스탬프","Core data model",""
"Insights","인사이트","Reports and analysis","Report name"
"Funnels","퍼널","Reports and analysis","Report name"
"Retention","리텐션","Reports and analysis","Report name only — see pitfalls"
"Flows","플로우","Reports and analysis","Report name"
"Boards","보드","Reports and analysis","Mixpanel renamed Dashboards → Boards; prefer 보드"
"dashboard","대시보드","Reports and analysis","Legacy term; use only where the source insists"
"report","리포트","Reports and analysis",""
"breakdown","브레이크다운","Reports and analysis",""
"segmentation","세그멘테이션","Reports and analysis",""
"segment (noun)","세그먼트","Reports and analysis",""
"filter","필터","Reports and analysis",""
"formula","수식(Formula)","Reports and analysis",""
"metric","지표","Reports and analysis",""
"Metric Tree","메트릭 트리","Reports and analysis","Product feature"
"Impact Report","임팩트 리포트","Reports and analysis",""
"conversion","전환","Reports and analysis",""
"conversion rate","전환율","Reports and analysis",""
"conversion window","전환 기간","Reports and analysis",""
"step (funnel)","단계","Reports and analysis",""
"churn","이탈","Reports and analysis",""
"stickiness","스티키니스(Stickiness)","Reports and analysis","Report name"
"frequency","빈도","Reports and analysis",""
"Annotations","어노테이션","Reports and analysis",""
"Alerts","알림(Alert)","Reports and analysis","Gloss on first use — 알림 also means ""notification"""
"chart","차트","Reports and analysis",""
"query","쿼리","Reports and analysis",""
"Signal","시그널(Signal)","Reports and analysis","Product feature"
"Session Replay","세션 리플레이","Product surfaces",""
"Feature Flags","기능 플래그","Product surfaces","피처 플래그 also circulates — pick one, this is it"
"Experiments","실험","Product surfaces",""
"variant","변형(Variant)","Product surfaces",""
"rollout","롤아웃","Product surfaces",""
"Lexicon","Lexicon","Product surfaces","Never translate — product name"
"Autocapture","오토캡처","Product surfaces",""
"Mixpanel Agent","Mixpanel Agent","Product surfaces","Never translate"
"Warehouse Connectors","웨어하우스 커넥터","Product surfaces",""
"Data Pipelines","데이터 파이프라인","Product surfaces",""
"Cohort Sync","코호트 동기화","Product surfaces",""
"tracking","트래킹","Data in",""
"to track (verb)","트래킹합니다 / 전송합니다","Data in","Use 전송 when the emphasis is on sending"
"ingestion","수집","Data in",""
"instrumentation","트래킹 구현(instrumentation)","Data in",""
"import","임포트","Data in",""
"batch","배치","Data in",""
"payload","페이로드","Data in",""
"endpoint","엔드포인트","Data in",""
"rate limit","요청 제한(rate limit)","Data in",""
"deduplication","중복 제거","Data in",""
"opt out","트래킹 거부(opt-out)","Data in",""
"server-side / client-side","서버 사이드 / 클라이언트 사이드","Data in",""
"library","라이브러리","Data in",""
"export","내보내기","Data out",""
"destination","전송 대상","Data out","Cohort Sync / Data Pipelines targets"
"sync","동기화","Data out",""
"one-time export","일회성 내보내기","Data out","Recurring heading"
"dynamic sync","동적 동기화","Data out","Recurring heading"
"warehouse","웨어하우스","Data out",""
"connector","커넥터","Data out",""
"project","프로젝트","Admin, security, billing",""
"organization","조직","Admin, security, billing",""
"workspace","워크스페이스","Admin, security, billing",""
"service account","서비스 계정","Admin, security, billing",""
"project token","프로젝트 토큰","Admin, security, billing",""
"API secret","API 시크릿","Admin, security, billing",""
"role","역할","Admin, security, billing",""
"permission","권한","Admin, security, billing",""
"Single Sign-On (SSO)","싱글 사인온(SSO)","Admin, security, billing",""
"audit log","감사 로그","Admin, security, billing",""
"data governance","데이터 거버넌스","Admin, security, billing",""
"data residency","데이터 레지던시","Admin, security, billing","EU/India residency pages"
"data retention","데이터 보관","Admin, security, billing","Not 리텐션 — see pitfalls"
"plan","요금제","Admin, security, billing",""
"usage","사용량","Admin, security, billing",""
"billing","결제","Admin, security, billing",""
"Overview","개요","Recurring doc furniture",""
"FAQ / Frequently Asked Questions","자주 묻는 질문","Recurring doc furniture",""
"Permissions","권한","Recurring doc furniture",""
"Prerequisites","사전 준비 사항","Recurring doc furniture",""
"Use Cases","활용 사례","Recurring doc furniture",""
"Troubleshooting","문제 해결","Recurring doc furniture",""
"Quick Start / Getting Started","빠른 시작 / 시작하기","Recurring doc furniture",""
"Key Takeaways","핵심 요약","Recurring doc furniture",""
"Next Steps","다음 단계","Recurring doc furniture",""
"Installation","설치","Recurring doc furniture",""
"Installing the Library","라이브러리 설치","Recurring doc furniture",""
"Sending Events","이벤트 전송","Recurring doc furniture",""
"Storing User Profiles","사용자 프로필 저장","Recurring doc furniture",""
"Setting Profile Properties","프로필 속성 설정","Recurring doc furniture",""
"Managing User Identity","사용자 아이덴티티 관리","Recurring doc furniture",""
"Release History","릴리스 히스토리","Recurring doc furniture",""
"Privacy-Friendly Tracking","프라이버시 친화적 트래킹","Recurring doc furniture",""
"Library Configuration","라이브러리 설정","Recurring doc furniture",""
"Error Handling","오류 처리","Recurring doc furniture",""
"Best Practices","모범 사례","Recurring doc furniture",""
"Debug Mode / Debugging","디버그 모드 / 디버깅","Recurring doc furniture",""
"Usage","사용법","Recurring doc furniture",""
"Limitations","제한 사항","Recurring doc furniture",""
"Example","예시","Recurring doc furniture",""
"Note / Warning (callout prose)","참고 / 주의","Recurring doc furniture",""
